time,bid,ask
2023-12-18T10:32:43.649Z,142.559,142.566
2023-12-18T10:32:47.850Z,142.558,142.561
2023-12-18T10:32:49.961Z,142.557,142.56
2023-12-18T10:32:54.167Z,142.556,142.559
2023-12-18T10:32:56.259Z,142.544,142.558
2023-12-18T10:32:58.334Z,142.55,142.546
2023-12-18T10:33:00.430Z,142.551,142.552
2023-12-18T10:33:02.514Z,142.554,142.555
2023-12-18T10:33:06.674Z,142.561,142.556
2023-12-18T10:33:08.759Z,142.559,142.561
2023-12-18T10:33:11.275Z,142.566,142.567
2023-12-18T10:33:13.363Z,142.56,142.561
2023-12-18T10:33:17.568Z,142.561,142.563
2023-12-18T10:33:21.310Z,142.566,142.564
2023-12-18T10:33:25.499Z,142.575,142.568
2023-12-18T10:33:27.615Z,142.574,142.577
2023-12-18T10:33:29.734Z,142.585,142.576
2023-12-18T10:33:31.851Z,142.583,142.586
2023-12-18T10:33:33.953Z,142.586,142.585
2023-12-18T10:33:36.031Z,142.588,142.59
2023-12-18T10:33:38.139Z,142.587,142.599
2023-12-18T10:33:42.315Z,142.575,142.589
2023-12-18T10:33:48.625Z,142.563,142.577
2023-12-18T10:33:52.848Z,142.577,142.568
2023-12-18T10:33:54.930Z,142.574,142.578
2023-12-18T10:33:57.050Z,142.578,142.579
2023-12-18T10:33:59.141Z,142.575,142.578
2023-12-18T10:34:01.250Z,142.586,142.577
2023-12-18T10:34:03.345Z,142.584,142.588
2023-12-18T10:34:05.436Z,142.587,142.586
2023-12-18T10:34:07.513Z,142.589,142.588
2023-12-18T10:34:09.604Z,142.587,142.59
2023-12-18T10:34:16.296Z,142.593,142.595
2023-12-18T10:34:20.172Z,142.594,142.597
2023-12-18T10:34:22.310Z,142.596,142.596
2023-12-18T10:34:24.409Z,142.593,142.597
2023-12-18T10:34:34.862Z,142.592,142.594
2023-12-18T10:34:39.077Z,142.597,142.595
2023-12-18T10:34:41.165Z,142.634,142.617
2023-12-18T10:34:43.259Z,142.642,142.634
2023-12-18T10:34:45.346Z,142.65,142.644
2023-12-18T10:34:47.444Z,142.663,142.652
2023-12-18T10:34:49.560Z,142.665,142.665
2023-12-18T10:34:51.677Z,142.668,142.666
2023-12-18T10:34:53.773Z,142.676,142.67
2023-12-18T10:34:55.879Z,142.683,142.678
2023-12-18T10:34:57.988Z,142.677,142.686
2023-12-18T10:35:00.095Z,142.682,142.679
2023-12-18T10:35:02.191Z,142.683,142.683
2023-12-18T10:35:04.314Z,142.676,142.685
2023-12-18T10:35:06.410Z,142.685,142.678
2023-12-18T10:35:08.501Z,142.677,142.687
2023-12-18T10:35:10.626Z,142.67,142.679
2023-12-18T10:35:12.722Z,142.664,142.672
2023-12-18T10:35:16.926Z,142.668,142.666
2023-12-18T10:35:19.052Z,142.679,142.677
2023-12-18T10:35:21.137Z,142.69,142.681
2023-12-18T10:35:23.220Z,142.692,142.696
2023-12-18T10:35:25.310Z,142.691,142.694
2023-12-18T10:35:27.494Z,142.681,142.684
2023-12-18T10:35:29.612Z,142.688,142.689
2023-12-18T10:35:31.704Z,142.68,142.682
2023-12-18T10:35:33.785Z,142.669,142.671
2023-12-18T10:35:35.872Z,142.67,142.672
2023-12-18T10:35:37.960Z,142.671,142.673
2023-12-18T10:35:40.042Z,142.674,142.676
2023-12-18T10:35:42.171Z,142.669,142.671
2023-12-18T10:35:44.277Z,142.675,142.677
2023-12-18T10:35:48.484Z,142.679,142.682
2023-12-18T10:35:50.578Z,142.674,142.676
2023-12-18T10:35:54.786Z,142.673,142.675
2023-12-18T10:36:01.087Z,142.676,142.683
2023-12-18T10:36:03.200Z,142.683,142.685
2023-12-18T10:36:05.293Z,142.69,142.693
2023-12-18T10:36:09.300Z,142.691,142.692
2023-12-18T10:36:11.478Z,142.686,142.693
2023-12-18T10:36:15.705Z,142.695,142.688
2023-12-18T10:36:17.808Z,142.696,142.697
2023-12-18T10:36:21.977Z,142.695,142.698
2023-12-18T10:36:26.162Z,142.694,142.697
2023-12-18T10:36:28.283Z,142.681,142.696
2023-12-18T10:36:30.387Z,142.691,142.693
2023-12-18T10:36:40.921Z,142.685,142.687
2023-12-18T10:36:45.092Z,142.683,142.685
2023-12-18T10:36:47.185Z,142.678,142.68
2023-12-18T10:36:49.284Z,142.673,142.675
2023-12-18T10:36:51.371Z,142.668,142.67
2023-12-18T10:36:55.549Z,142.669,142.671
2023-12-18T10:36:57.671Z,142.672,142.673
2023-12-18T10:36:59.784Z,142.676,142.678
2023-12-18T10:37:01.886Z,142.67,142.672
2023-12-18T10:37:03.973Z,142.665,142.667
2023-12-18T10:37:06.067Z,142.661,142.663
2023-12-18T10:37:08.156Z,142.66,142.662
2023-12-18T10:37:10.273Z,142.664,142.666
2023-12-18T10:37:12.353Z,142.676,142.678
2023-12-18T10:37:18.633Z,142.677,142.679
2023-12-18T10:37:20.717Z,142.676,142.678
2023-12-18T10:37:26.985Z,142.681,142.683
2023-12-18T10:37:29.076Z,142.677,142.679
2023-12-18T10:37:33.325Z,142.685,142.687
2023-12-18T10:37:35.421Z,142.684,142.686
2023-12-18T10:37:37.505Z,142.694,142.696
2023-12-18T10:37:41.387Z,142.693,142.697
2023-12-18T10:37:43.508Z,142.695,142.689
2023-12-18T10:37:45.604Z,142.691,142.693
2023-12-18T10:37:48.002Z,142.695,142.697
2023-12-18T10:37:54.305Z,142.693,142.695
2023-12-18T10:37:56.384Z,142.696,142.698
2023-12-18T10:38:00.405Z,142.697,142.697
2023-12-18T10:38:02.500Z,142.695,142.698
2023-12-18T10:38:04.594Z,142.696,142.715
2023-12-18T10:38:06.695Z,142.713,142.709
2023-12-18T10:38:08.823Z,142.706,142.724
2023-12-18T10:38:10.912Z,142.722,142.72
2023-12-18T10:38:13.004Z,142.718,142.718
2023-12-18T10:38:15.082Z,142.716,142.716
2023-12-18T10:38:17.174Z,142.714,142.724
2023-12-18T10:38:21.344Z,142.722,142.72
2023-12-18T10:38:23.437Z,142.718,142.717
2023-12-18T10:38:25.517Z,142.717,142.715
2023-12-18T10:38:27.629Z,142.713,142.71
2023-12-18T10:38:29.736Z,142.708,142.711
2023-12-18T10:38:31.831Z,142.709,142.708
2023-12-18T10:38:40.203Z,142.706,142.709
2023-12-18T10:38:42.300Z,142.707,142.716
2023-12-18T10:38:44.377Z,142.714,142.713
2023-12-18T10:38:46.468Z,142.712,142.712
2023-12-18T10:38:48.552Z,142.71,142.715
2023-12-18T10:38:52.729Z,142.713,142.717
2023-12-18T10:38:54.826Z,142.712,142.709
2023-12-18T10:38:56.945Z,142.707,142.705
2023-12-18T10:38:59.053Z,142.703,142.706
2023-12-18T10:39:01.144Z,142.704,142.697
2023-12-18T10:39:05.338Z,142.696,142.702
2023-12-18T10:39:09.535Z,142.699,142.697
2023-12-18T10:39:11.694Z,142.694,142.695
2023-12-18T10:39:13.783Z,142.693,142.704
2023-12-18T10:39:15.868Z,142.704,142.707
2023-12-18T10:39:20.041Z,142.705,142.708
2023-12-18T10:39:22.133Z,142.706,142.707
2023-12-18T10:39:26.650Z,142.715,142.717
